kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
9415172,CONFIRMED,9.94602357,994.5,3.3862,3.12,5344.0,1.013,15.596
9415172,CONFIRMED,1.04562195,213.0,1.8955,1.45,5344.0,1.013,15.596
9415172,CONFIRMED,5.71462396,297.8,2.336,1.78,5344.0,1.013,15.596
9904059,FALSE POSITIVE,102.9641952,1896.7,15.735,39.0,5047.0,7.119,13.608
3231341,CONFIRMED,8.14515981,446.8,5.073,3.43,5896.0,1.24,14.925
3231341,CONFIRMED,18.9985279,430.7,4.529,43.17,5896.0,1.24,14.925
3231341,CONFIRMED,4.24439049,174.0,3.282,2.07,5896.0,1.24,14.925
7626506,CONFIRMED,28.5742692,824.9,4.9427,2.32,5551.0,0.812,13.771
10482160,CONFIRMED,7.34373964,574.4,1.1784,1.84,5757.0,0.762,14.657
10485069,FALSE POSITIVE,0.445277068,186.7,3.539,35.74,6167.0,1.064,15.343
3233043,FALSE POSITIVE,0.379463865,1973.3,0.86896,59.56,5075.0,1.783,13.787
6579806,FALSE POSITIVE,9.88047978,18541.0,2.78458,23.6,6113.0,0.917,15.212
3560301,FALSE POSITIVE,4.6484156,128.4,38.1939,5.06,6980.0,3.482,10.963
4044005,FALSE POSITIVE,17.512014768,4511.7,1.8248,13.66,6224.0,1.132,12.336
